CustomerID;CustomerName ;CustomerGender;CustomerDOB;CustomerAddress;CustomerNumber;CustomerEmail;MaritalStatus;WebsiteActivity;PaymentMethod;MajorProductCategory
C0001;Bagus Suwarno;Male ;1/26/1974;Ds. Urip Sumoharjo No. 676, Bengkulu 36860, JaTeng;0817-555-869;bagussuwarno@gmail.com;Single;3;Internet Payment;Body Lotion
C0002;Darman Wacana ;Male ;09/06/1983;Psr. Kusmanto No. 428, Pagar Alam 23468, KalBar;0899-555-382;darmanwacana@gmail.com;Single;4;Credit;Shampoo
C0003;Limar Jaga Widodo;Male ;1/30/1977;Psr. Bappenas No. 697, Administrasi Jakarta Utara;0838-555-603;limarjagawidodo@gmail.com;Single;1;Bank Transfer;Shampoo
C0004;Harjo Balamantri Mansur ;Male ;5/13/1982;Jln. Jambu No. 680, Mojokerto 18150, JaTim;0878-555-460;harjobalamantrimansur@gmail.com;Single;2;Credit;Shampoo
C0005;Praba_Harjasa_Halim ;Male ;01/02/1975;Ds. Pelajar Pejuang 45 No. 380, Kupang 42164, DKI;0859-555-222;praba_harjasa_halim@gmail.com;Single;2;Bank Transfer;Shampoo
C0006;Arta Jailani S.Kom;Male ;10/24/1987;Gg. Urip Sumoharjo No. 697, Bima 71106, Aceh;0878-555-301;artajailanis.kom@gmail.com;Single;2;Internet Payment;Shampoo
C0007;Enteng Mariadi Saragih M.TI;Male ;11/20/1999;Jln. Babadan No. 833, Balikpapan 32940, KalTim;0858-555-828;entengmariadisaragihm.ti@gmail.com;Single;4;Credit;Shower Gel
C0008;Dr.Hendri Suwarno;Male ;9/17/1992;Ds. Bakhita No. 1, Kediri 20725, KalTim;0816-555-673;dr.hendrisuwarno@gmail.com;Single;1;Bank Transfer;Shower Gel
C0009;Bagiya Gunarto;Male ;08/09/1982;Gg. Jagakarsa No. 333, Madiun 19551, SulTeng;0838-555-329;bagiyagunarto@gmail.com;Single;1;Virtual Account;Shampoo
C0010;Dadi Putra;Male ;24/04/1977;Ds. Imam Bonjol No. 927, Bandar Lampung 38012, Aceh;0856-555-639;dadiputra@gmail.com;Single;1;Credit;Shampoo
C0011;Purwa Zulkarnain ;Male ;23/11/1989;Gg. Ki Hajar Dewantara No. 214, Binjai 32897, SulTra;0818-555-393;purwazulkarnain@gmail.com;Single;2;Bank Transfer;Shampoo
C0012;Tugiman Sitompul;Male ;29/08/2002;Jln. Madrasah No. 421, Banjar 73750, JaBar;0838-555-105;tugimansitompul@gmail.com;Single;5;Virtual Account;EDT
C0013;Lamar Narpati;Male ;02/06/1989;Psr. Kartini No. 935, Batu 23246, PapBar;0896-555-920;lamarnarpati@gmail.com;Married;5;Bank Transfer;Shampoo
C0014;Daliman Utama;Male ;06/01/1980;Jln. Setiabudhi No. 60, Administrasi Jakarta Selatan 61054, SumSel;0878-555-917;dalimanutama@gmail.com;Married;2;Internet Payment;Shampoo
C0015;Kusuma Warta Pranowo ;Male ;07/07/1984;Psr. Raden Saleh No. 183, Sawahlunto 99425, Maluku;0858-555-792;kusumawartapranowo@gmail.com;Married;2;Internet Payment;Shampoo
